tweet,sentiment
.finna enjoy thiz rainy day...maybe put ah couple in tha air.!!,3
"#weather Arvada, Colorado Weather :: 55F MOSTLY CLOUDY {link}",2
News you can use to do good in Austin. Enjoy the new issue of GivingCity on this rainy day. Click here to open. {link},2
"quarter size hail will be possible with thunderstorms moving into Dickenson and Buchanan counties...just north of Clintwood to Grundy, VA",2
Isolated rain and snow showers moving south of Reno-Sparks. Expecting snow accum to melt very quickly today. High 53/Low 36.,2
Stupidd Ass Weather Makes Me Wanna Go Sleep!,1
"@mention keep midwest in ur prayers! major storm outbreak happening now into tomorrow! a ""land hurricane"" please RT! thx 4 support",2
42.3 degrees and 98% humidity. #notagoodcombination #uncomfortable,1
#WEATHER: 2:51 am E: 60.0F. Feels 59F. 29.93% Humidity. 9.2MPH Northeast Wind.,2
Fuck off depressing weather ): I just wanna go back to bed right now.,1
What is with this weather.  Please make up your mind.,1
@mention Georgia folks can't help but stick together! Thank you for the Congrats!!! PS- What about this cold weather in MAY. Ridiculous!,1
#WEATHER:  1:53 pm : 85.0F. Feels F. 29.89% Humidity. 16.1MPH South Wind.,2
The Severe Thunderstorm Warning has expired for Rush and Shelby counties. {link},2
Thunderstorms during the day are the best. Especially when I can lay in bed and eat brownies and ice cream. #lazy #fat #okwithit,3
"@mention have a beautiful time, soaking in the sunshine!",3
Lmmfao RT @mention: My phone say it 87 Degrees outside. They lying. I opened the door and started sweating...HARD,1
This weather can suck it!,1
"@mention Thanks, but I'm good. It's actually warm out there. Nice night it just looked bad from the office window.",3
Today is  just too hot to be outside #ugh,1
Such a pretty day out! #sunshine,3
RT @mention: No damage reports from weak tornadoes on front edge of thunderstorms. A few reports of thunderstorm wind damage coming in. #sdwx,2
Dude. It is finally sunny. Take some PTO this afternoon and hit the courses @mention  The time is now.,3
#WEATHER: 3:52 pm E: 80.0F. Feels F. 29.94% Humidity. 3.5MPH Variable Wind.,2
@mention  40 rainy and cold. North Dakota,2
It is soooo nice out. Hello summer weather!,3
@mention  do you have a basement?  Be safe. Weather here is one big T Watch.,2
Hmm...I think it's windy outside...#obviously,2
@mention Thank you! I just got to NYC and the weather is gorgeous! Hope you are having a good day.,3
This Inconsistent weather is irritating...,1
@mention i did lol i mean i missed this weather!!,3
"Holy crap, 93 degrees and humid where have you been?!?  I've missed you!",3
"RT @mention: Source says WFAA is not going with weather coverage, but running Dancing With The Stars despite the D/FW tornado warnings. Su ...",2
I'm going to enjoy the last fee days of cool weather before it's gone,3
Bruises on my knees are starting to show. Gorgeous. Good thing the weather sucks enough that I won't be wearing shorts anytime soon #klutz,1
It's 49 degrees and gray in Chicago. It's due to start raining at any moment. Call us for a great deal today! Here until 4:00-800-533-3923,2
Severe Thunderstorm Warning for Henry and Pettis County in MO until 6:45pm CDT. #mowx,2
